,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,10301,General,3,2,1.0,2,4,0.0,0,0,0.0,,,
1,10302,General,3,2,1.0,4,0,0.0,0,0,0.0,,,
2,10303,General,3,2,1.0,4,0,0.0,0,0,0.0,,,
3,10304,General,3,2,1.0,4,4,0.0,0,0,0.0,,,
4,10305,General,3,2,1.0,2,4,0.0,0,0,0.0,,,
5,10306,General,3,2,1.0,2,4,0.0,0,0,0.0,,,
6,10307,General,3,2,1.0,2,3,0.0,0,0,0.0,,,
7,10308,General,3,2,1.0,2,4,0.0,0,0,0.0,,,
8,10309,General,3,2,1.0,2,0,0.0,0,0,0.0,,,
9,10310,General,0,2,1.0,4,0,0.0,0,0,0.0,,,
10,10311,General,0,0,3.0,4,3,0.0,0,0,0.0,,,
11,10312,General,0,4,4.0,4,0,3.0,0,0,0.0,,,
12,10313,General,0,4,4.0,2,3,4.0,0,0,0.0,,,
13,10314,General,0,4,4.0,4,0,3.0,0,0,0.0,,,
14,10315,General,0,4,4.0,2,3,4.0,2,3,2.0,,,
15,10316,General,0,4,4.0,2,0,0.0,0,0,0.0,,,
16,10317,General,0,4,4.0,0,1,2.0,2,3,2.0,,,
17,10318,General,0,4,4.0,1,0,3.0,4,1,4.0,,,
18,10319,General,0,0,3.0,3,1,2.0,2,3,2.0,,,
19,10320,General,4,4,0.0,0,3,4.0,4,1,4.0,,,
20,10321,General,4,4,0.0,1,0,3.0,4,1,4.0,,,
21,10322,General,4,0,0.0,1,2,1.0,4,1,4.0,,,
22,10323,General,4,4,0.0,1,0,3.0,4,1,4.0,,,
23,10324,General,4,0,0.0,1,0,3.0,4,1,4.0,,,
24,10325,General,4,0,0.0,1,2,1.0,4,1,4.0,,,
25,10326,General,4,1,0.0,0,3,4.0,4,1,4.0,,,
26,10327,General,4,1,0.0,0,2,1.0,4,2,1.0,,,
27,10328,General,4,1,0.0,1,2,1.0,4,2,1.0,,,
28,10329,General,4,1,0.0,0,2,1.0,1,2,1.0,,,
29,10330,General,1,1,0.0,1,2,1.0,1,2,1.0,,,
30,10331,General,1,1,0.0,0,2,1.0,1,2,1.0,,,
31,10332,General,1,1,0.0,0,2,1.0,1,2,1.0,,,
32,10333,General,1,1,0.0,1,2,1.0,1,2,1.0,,,
33,10334,General,1,1,0.0,1,2,1.0,1,2,1.0,,,
34,10335,General,1,1,0.0,0,2,1.0,1,2,1.0,,,
35,10336,General,1,1,0.0,0,2,1.0,1,2,1.0,,,
36,10337,General,2,3,2.0,3,1,2.0,3,4,3.0,,,
37,10338,General,1,1,0.0,0,2,1.0,1,2,1.0,,,
0,10301,OBC,3,4,0.0,2,2,0.0,2,2,2.0,,,
1,10302,OBC,3,4,0.0,0,2,0.0,2,2,2.0,,,
2,10303,OBC,3,4,0.0,2,2,0.0,2,2,2.0,,,
3,10304,OBC,3,4,0.0,2,2,0.0,2,2,2.0,,,
4,10305,OBC,3,4,0.0,2,2,0.0,2,2,2.0,,,
5,10306,OBC,3,4,0.0,2,2,0.0,2,2,2.0,,,
6,10307,OBC,1,1,0.0,2,2,0.0,2,2,2.0,,,
7,10308,OBC,1,1,0.0,2,2,0.0,2,2,2.0,,,
8,10309,OBC,1,1,0.0,2,0,2.0,2,2,2.0,,,
9,10310,OBC,1,1,0.0,0,4,4.0,4,2,1.0,,,
10,10311,OBC,1,1,3.0,0,4,4.0,4,0,1.0,,,
11,10312,OBC,1,1,3.0,0,4,4.0,1,0,1.0,,,
12,10313,OBC,1,2,3.0,0,4,4.0,4,0,1.0,,,
13,10314,OBC,1,2,3.0,0,0,4.0,4,0,1.0,,,
14,10315,OBC,4,2,3.0,1,0,2.0,1,0,1.0,,,
15,10316,OBC,4,2,3.0,0,4,4.0,4,0,1.0,,,
16,10317,OBC,4,2,3.0,0,4,4.0,4,0,1.0,,,
17,10318,OBC,4,2,3.0,0,4,4.0,4,0,1.0,,,
18,10319,OBC,4,2,1.0,1,0,2.0,1,0,3.0,,,
19,10320,OBC,2,2,1.0,1,0,2.0,1,0,3.0,,,
20,10321,OBC,2,3,1.0,1,1,1.0,1,0,3.0,,,
21,10322,OBC,2,3,1.0,1,0,2.0,1,4,3.0,,,
22,10323,OBC,2,3,1.0,1,1,1.0,0,0,0.0,,,
23,10324,OBC,2,3,1.0,3,1,1.0,1,4,3.0,,,
24,10325,OBC,2,3,1.0,1,0,3.0,0,4,3.0,,,
25,10326,OBC,2,3,1.0,3,1,1.0,0,1,0.0,,,
26,10327,OBC,0,0,4.0,1,0,3.0,0,4,4.0,,,
27,10328,OBC,0,0,4.0,3,0,1.0,0,4,4.0,,,
28,10329,OBC,0,0,4.0,3,3,1.0,0,1,0.0,,,
29,10330,OBC,0,0,4.0,1,3,3.0,3,3,4.0,,,
30,10331,OBC,0,0,4.0,4,3,3.0,0,1,0.0,,,
31,10332,OBC,0,0,4.0,4,3,3.0,0,1,0.0,,,
32,10333,OBC,0,0,2.0,3,1,1.0,0,1,0.0,,,
33,10334,OBC,0,0,2.0,4,3,3.0,3,3,4.0,,,
34,10335,OBC,0,0,2.0,4,3,3.0,3,3,4.0,,,
35,10336,OBC,0,0,2.0,4,3,3.0,0,1,0.0,,,
36,10337,OBC,0,0,2.0,4,3,3.0,3,3,4.0,,,
37,10338,OBC,0,0,2.0,4,3,3.0,0,1,0.0,,,
0,10301,Overall,3,2,,3,0,,3,2,,0.0,4.0,2.0
1,10302,Overall,3,2,,0,0,,3,2,,0.0,0.0,2.0
2,10303,Overall,3,2,,3,0,,3,2,,0.0,4.0,2.0
3,10304,Overall,3,2,,3,0,,3,2,,0.0,4.0,2.0
4,10305,Overall,3,2,,3,0,,3,2,,0.0,4.0,2.0
5,10306,Overall,3,2,,3,0,,3,2,,0.0,4.0,2.0
6,10307,Overall,1,2,,3,0,,1,2,,0.0,4.0,2.0
7,10308,Overall,1,4,,3,0,,1,2,,0.0,4.0,2.0
8,10309,Overall,1,4,,3,0,,1,2,,0.0,4.0,2.0
9,10310,Overall,1,4,,0,0,,1,2,,0.0,0.0,1.0
10,10311,Overall,1,4,,0,0,,1,4,,0.0,0.0,1.0
11,10312,Overall,1,3,,0,0,,1,3,,3.0,0.0,4.0
12,10313,Overall,1,3,,2,0,,1,4,,3.0,0.0,1.0
13,10314,Overall,1,3,,0,0,,1,4,,3.0,0.0,1.0
14,10315,Overall,4,3,,2,3,,4,3,,3.0,1.0,4.0
15,10316,Overall,4,3,,2,0,,1,4,,3.0,0.0,1.0
16,10317,Overall,4,3,,2,3,,4,3,,3.0,1.0,4.0
17,10318,Overall,4,3,,0,2,,1,4,,1.0,3.0,1.0
18,10319,Overall,4,3,,2,3,,4,3,,1.0,1.0,4.0
19,10320,Overall,0,1,,2,1,,4,3,,1.0,1.0,4.0
20,10321,Overall,0,1,,2,2,,2,1,,1.0,3.0,3.0
21,10322,Overall,0,1,,2,1,,2,1,,1.0,1.0,3.0
22,10323,Overall,0,1,,2,1,,2,1,,1.0,1.0,3.0
23,10324,Overall,0,1,,0,2,,2,1,,1.0,3.0,3.0
24,10325,Overall,0,1,,2,1,,2,1,,1.0,1.0,3.0
25,10326,Overall,0,1,,2,1,,2,1,,4.0,1.0,3.0
26,10327,Overall,0,1,,2,1,,2,1,,4.0,1.0,3.0
27,10328,Overall,0,0,,4,1,,0,1,,4.0,2.0,0.0
28,10329,Overall,0,0,,1,1,,2,0,,4.0,2.0,0.0
29,10330,Overall,0,0,,1,1,,0,0,,4.0,2.0,0.0
30,10331,Overall,2,0,,1,1,,0,0,,2.0,2.0,0.0
31,10332,Overall,2,0,,1,1,,0,0,,2.0,2.0,0.0
32,10333,Overall,2,0,,4,2,,0,0,,2.0,3.0,0.0
33,10334,Overall,2,0,,4,4,,0,0,,2.0,2.0,0.0
34,10335,Overall,2,0,,1,4,,0,0,,2.0,2.0,0.0
35,10336,Overall,2,0,,1,4,,0,0,,2.0,2.0,0.0
36,10337,Overall,2,0,,1,4,,0,0,,2.0,2.0,0.0
37,10338,Overall,2,0,,1,4,,0,0,,2.0,2.0,0.0
0,10301,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
1,10302,SC,2,0,2.0,1,0,2.0,1,0,3.0,,,
2,10303,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
3,10304,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
4,10305,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
5,10306,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
6,10307,SC,2,0,2.0,1,0,0.0,1,0,1.0,,,
7,10308,SC,2,0,2.0,4,0,0.0,1,0,1.0,,,
8,10309,SC,2,0,2.0,4,0,0.0,1,0,1.0,,,
9,10310,SC,2,0,2.0,1,2,2.0,1,0,1.0,,,
10,10311,SC,4,4,0.0,1,0,2.0,0,2,1.0,,,
11,10312,SC,0,2,0.0,1,2,2.0,0,2,1.0,,,
12,10313,SC,0,2,0.0,4,0,0.0,1,0,1.0,,,
13,10314,SC,0,2,0.0,0,0,2.0,0,2,1.0,,,
14,10315,SC,0,2,0.0,0,2,2.0,0,2,1.0,,,
15,10316,SC,0,2,0.0,0,2,2.0,0,2,1.0,,,
16,10317,SC,0,2,0.0,0,2,2.0,4,2,0.0,,,
17,10318,SC,0,2,3.0,0,2,2.0,0,2,0.0,,,
18,10319,SC,0,2,3.0,3,3,3.0,4,2,0.0,,,
19,10320,SC,0,2,3.0,3,3,3.0,0,2,0.0,,,
20,10321,SC,0,3,3.0,0,2,2.0,0,4,0.0,,,
21,10322,SC,3,3,3.0,3,3,3.0,0,4,0.0,,,
22,10323,SC,3,3,3.0,3,3,3.0,0,4,0.0,,,
23,10324,SC,3,3,3.0,0,2,4.0,3,3,4.0,,,
24,10325,SC,3,3,1.0,3,3,3.0,3,3,4.0,,,
25,10326,SC,3,3,1.0,3,3,3.0,3,3,4.0,,,
26,10327,SC,3,3,1.0,3,4,3.0,3,3,4.0,,,
27,10328,SC,3,3,1.0,0,1,4.0,3,3,4.0,,,
28,10329,SC,1,1,1.0,2,4,3.0,2,1,2.0,,,
29,10330,SC,1,1,1.0,2,1,1.0,3,3,4.0,,,
30,10331,SC,1,1,1.0,2,4,3.0,2,1,2.0,,,
31,10332,SC,1,1,1.0,2,1,1.0,2,1,2.0,,,
32,10333,SC,1,1,1.0,0,1,4.0,2,1,2.0,,,
33,10334,SC,1,1,4.0,2,1,1.0,2,1,2.0,,,
34,10335,SC,1,1,4.0,2,1,1.0,2,1,2.0,,,
35,10336,SC,1,1,4.0,2,1,1.0,2,1,2.0,,,
36,10337,SC,1,1,4.0,2,1,1.0,2,1,2.0,,,
37,10338,SC,1,1,4.0,2,4,1.0,2,1,2.0,,,
0,10301,ST,3,2,2.0,0,1,1.0,2,4,2.0,,,
1,10302,ST,3,2,2.0,4,0,4.0,2,2,1.0,,,
2,10303,ST,3,2,2.0,0,1,1.0,3,4,2.0,,,
3,10304,ST,3,2,2.0,0,2,1.0,3,2,2.0,,,
4,10305,ST,3,2,2.0,0,2,1.0,3,4,2.0,,,
5,10306,ST,3,2,2.0,0,2,0.0,3,4,2.0,,,
6,10307,ST,3,2,2.0,4,2,0.0,3,4,2.0,,,
7,10308,ST,3,2,2.0,4,2,0.0,3,4,2.0,,,
8,10309,ST,2,1,1.0,0,1,1.0,1,3,3.0,,,
9,10310,ST,2,1,1.0,0,1,1.0,2,2,2.0,,,
10,10311,ST,2,1,1.0,0,1,1.0,3,4,2.0,,,
11,10312,ST,0,4,4.0,0,2,0.0,2,4,2.0,,,
12,10313,ST,0,4,4.0,1,2,4.0,1,2,1.0,,,
13,10314,ST,0,4,4.0,0,1,1.0,3,4,2.0,,,
14,10315,ST,0,4,4.0,3,2,0.0,2,2,2.0,,,
15,10316,ST,0,4,4.0,0,1,1.0,3,0,2.0,,,
16,10317,ST,0,4,4.0,3,2,0.0,2,2,1.0,,,
17,10318,ST,0,4,4.0,3,1,1.0,2,0,2.0,,,
18,10319,ST,2,1,1.0,1,0,4.0,1,1,1.0,,,
19,10320,ST,0,3,0.0,0,0,0.0,0,0,0.0,,,
20,10321,ST,0,3,0.0,0,1,1.0,0,0,0.0,,,
21,10322,ST,0,3,0.0,3,3,0.0,0,0,0.0,,,
22,10323,ST,0,3,0.0,0,0,0.0,0,0,0.0,,,
23,10324,ST,0,3,0.0,1,3,0.0,0,0,0.0,,,
24,10325,ST,4,3,0.0,3,3,0.0,0,0,0.0,,,
25,10326,ST,4,3,0.0,3,3,0.0,0,0,0.0,,,
26,10327,ST,1,3,3.0,1,0,3.0,0,0,0.0,,,
27,10328,ST,1,3,3.0,3,0,3.0,0,1,0.0,,,
28,10329,ST,4,0,0.0,3,3,0.0,0,1,0.0,,,
29,10330,ST,1,0,3.0,2,4,2.0,1,1,1.0,,,
30,10331,ST,1,0,3.0,3,0,3.0,0,1,0.0,,,
31,10332,ST,1,0,3.0,3,3,3.0,4,0,4.0,,,
32,10333,ST,1,0,3.0,2,0,2.0,4,0,4.0,,,
33,10334,ST,1,0,3.0,2,4,2.0,4,0,4.0,,,
34,10335,ST,1,0,3.0,2,4,2.0,4,0,4.0,,,
35,10336,ST,1,0,3.0,3,3,0.0,4,0,4.0,,,
36,10337,ST,1,0,3.0,2,4,2.0,4,0,4.0,,,
37,10338,ST,1,0,3.0,1,0,3.0,4,0,4.0,,,
