,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
0,12701,General,1,1,1.0,0,0,0.0,2,3,0.0
1,12702,General,1,1,1.0,0,0,0.0,2,3,0.0
2,12703,General,1,1,1.0,0,0,0.0,2,3,0.0
3,12704,General,1,1,1.0,0,0,0.0,2,3,0.0
4,12705,General,1,1,1.0,0,0,0.0,2,4,0.0
5,12706,General,1,1,1.0,0,0,0.0,2,4,0.0
6,12707,General,1,1,1.0,0,0,0.0,2,4,0.0
7,12708,General,1,1,1.0,4,0,1.0,2,4,0.0
8,12709,General,3,3,3.0,4,1,1.0,2,2,1.0
9,12710,General,3,3,3.0,0,0,0.0,0,2,1.0
10,12711,General,3,3,3.0,4,1,1.0,0,2,1.0
11,12712,General,3,3,3.0,4,0,1.0,0,2,1.0
12,12713,General,3,3,3.0,4,1,1.0,0,2,1.0
13,12714,General,2,0,0.0,4,1,1.0,0,2,1.0
14,12715,General,3,3,0.0,4,1,1.0,0,2,1.0
15,12716,General,4,0,0.0,4,1,1.0,0,2,1.0
16,12717,General,4,0,0.0,4,1,1.0,3,2,1.0
17,12718,General,4,0,0.0,3,3,3.0,3,0,3.0
18,12719,General,4,0,0.0,3,3,3.0,3,0,3.0
19,12720,General,4,0,0.0,2,4,4.0,3,0,3.0
20,12721,General,2,0,0.0,2,4,4.0,3,0,3.0
21,12722,General,4,0,0.0,2,4,4.0,1,0,2.0
22,12723,General,2,0,0.0,2,4,4.0,1,0,2.0
23,12724,General,0,2,2.0,2,4,4.0,1,0,2.0
24,12725,General,0,2,2.0,1,2,2.0,1,0,2.0
25,12726,General,0,2,2.0,1,2,2.0,1,0,2.0
26,12727,General,0,2,2.0,1,2,2.0,1,1,2.0
27,12728,General,0,2,2.0,1,2,2.0,1,1,2.0
28,12729,General,0,2,2.0,2,2,2.0,4,1,2.0
29,12730,General,0,2,2.0,2,2,2.0,4,1,2.0
30,12731,General,0,4,4.0,1,2,2.0,4,1,4.0
31,12732,General,0,4,4.0,1,2,2.0,4,1,4.0
32,12733,General,0,4,4.0,1,2,2.0,4,1,4.0
0,12701,OBC,2,4,4.0,2,0,4.0,4,2,2.0
1,12702,OBC,2,4,4.0,2,0,4.0,4,2,2.0
2,12703,OBC,2,4,4.0,2,0,4.0,4,2,2.0
3,12704,OBC,2,4,4.0,2,0,4.0,4,2,2.0
4,12705,OBC,2,2,2.0,2,0,3.0,4,2,2.0
5,12706,OBC,2,2,2.0,2,0,3.0,4,2,2.0
6,12707,OBC,4,2,2.0,2,0,3.0,2,2,2.0
7,12708,OBC,4,2,2.0,0,0,3.0,2,2,2.0
8,12709,OBC,4,2,2.0,0,0,3.0,2,0,4.0
9,12710,OBC,4,2,2.0,0,0,3.0,2,0,4.0
10,12711,OBC,0,3,0.0,0,0,3.0,2,0,4.0
11,12712,OBC,0,3,0.0,0,3,2.0,2,0,4.0
12,12713,OBC,0,3,0.0,0,2,3.0,0,0,0.0
13,12714,OBC,0,3,0.0,0,3,2.0,0,0,0.0
14,12715,OBC,0,3,0.0,0,3,2.0,0,0,0.0
15,12716,OBC,0,3,0.0,0,3,2.0,0,0,0.0
16,12717,OBC,0,1,0.0,0,3,2.0,0,0,0.0
17,12718,OBC,0,1,0.0,3,2,1.0,0,4,0.0
18,12719,OBC,0,1,0.0,3,2,1.0,0,4,0.0
19,12720,OBC,3,1,3.0,1,4,1.0,0,4,0.0
20,12721,OBC,3,1,3.0,1,4,1.0,3,3,3.0
21,12722,OBC,3,1,3.0,1,4,1.0,3,3,3.0
22,12723,OBC,3,1,3.0,3,2,1.0,3,3,3.0
23,12724,OBC,3,0,3.0,1,4,0.0,3,3,3.0
24,12725,OBC,3,0,3.0,1,4,0.0,3,3,3.0
25,12726,OBC,1,0,1.0,3,2,1.0,3,3,3.0
26,12727,OBC,1,0,1.0,1,4,0.0,1,1,1.0
27,12728,OBC,1,0,1.0,3,1,1.0,1,1,1.0
28,12729,OBC,1,0,1.0,4,1,0.0,1,1,1.0
29,12730,OBC,1,0,1.0,1,1,0.0,1,1,1.0
30,12731,OBC,1,0,1.0,4,1,0.0,1,1,1.0
31,12732,OBC,1,0,1.0,4,1,0.0,1,1,1.0
32,12733,OBC,1,0,1.0,4,1,0.0,1,1,1.0
0,12701,Overall,4,0,,1,2,,4,4,
1,12702,Overall,4,0,,1,2,,4,4,
2,12703,Overall,4,0,,1,2,,4,4,
3,12704,Overall,4,0,,1,2,,4,4,
4,12705,Overall,2,0,,1,2,,4,4,
5,12706,Overall,2,0,,1,2,,4,2,
6,12707,Overall,2,0,,1,2,,2,2,
7,12708,Overall,2,0,,1,2,,2,2,
8,12709,Overall,2,4,,2,2,,2,2,
9,12710,Overall,2,4,,1,2,,2,2,
10,12711,Overall,2,4,,2,1,,2,2,
11,12712,Overall,0,4,,2,1,,2,2,
12,12713,Overall,0,4,,2,1,,0,0,
13,12714,Overall,0,4,,2,1,,0,0,
14,12715,Overall,0,2,,2,1,,0,0,
15,12716,Overall,0,2,,2,1,,0,0,
16,12717,Overall,0,2,,2,1,,0,0,
17,12718,Overall,0,2,,0,3,,0,0,
18,12719,Overall,0,2,,0,3,,0,0,
19,12720,Overall,0,3,,0,3,,0,0,
20,12721,Overall,3,3,,0,0,,1,1,
21,12722,Overall,3,3,,0,3,,1,1,
22,12723,Overall,3,3,,0,3,,1,1,
23,12724,Overall,3,3,,3,0,,1,1,
24,12725,Overall,3,3,,0,4,,1,1,
25,12726,Overall,1,1,,4,4,,1,1,
26,12727,Overall,1,1,,4,4,,1,1,
27,12728,Overall,1,1,,4,4,,1,1,
28,12729,Overall,1,1,,3,4,,3,3,
29,12730,Overall,1,1,,3,0,,3,3,
30,12731,Overall,1,1,,4,4,,3,3,
31,12732,Overall,1,1,,3,0,,3,3,
32,12733,Overall,1,1,,4,4,,3,3,
0,12701,SC,2,1,4.0,3,2,2.0,3,0,2.0
1,12702,SC,2,1,4.0,3,2,2.0,3,0,2.0
2,12703,SC,2,1,4.0,3,2,2.0,3,0,2.0
3,12704,SC,2,1,4.0,3,2,2.0,3,0,2.0
4,12705,SC,2,1,4.0,3,2,2.0,3,0,2.0
5,12706,SC,2,1,3.0,0,2,2.0,3,0,2.0
6,12707,SC,2,1,3.0,3,0,2.0,4,0,2.0
7,12708,SC,2,0,3.0,0,0,2.0,4,0,2.0
8,12709,SC,4,0,3.0,0,0,0.0,4,0,0.0
9,12710,SC,4,0,3.0,0,0,0.0,4,3,0.0
10,12711,SC,4,0,3.0,0,0,0.0,4,3,0.0
11,12712,SC,4,0,2.0,0,0,0.0,4,3,0.0
12,12713,SC,4,0,2.0,0,3,0.0,1,3,0.0
13,12714,SC,3,0,2.0,0,0,0.0,1,3,0.0
14,12715,SC,3,0,2.0,0,0,0.0,1,3,0.0
15,12716,SC,3,0,2.0,4,0,0.0,1,1,0.0
16,12717,SC,3,3,2.0,4,0,0.0,1,1,0.0
17,12718,SC,3,3,2.0,1,3,4.0,0,1,1.0
18,12719,SC,0,3,0.0,1,3,4.0,0,1,1.0
19,12720,SC,0,3,0.0,1,3,4.0,0,1,1.0
20,12721,SC,0,3,0.0,4,1,1.0,0,1,1.0
21,12722,SC,0,3,0.0,1,1,1.0,0,1,1.0
22,12723,SC,0,4,0.0,1,3,1.0,0,1,1.0
23,12724,SC,0,4,0.0,4,1,1.0,0,4,4.0
24,12725,SC,0,4,0.0,1,1,1.0,0,4,4.0
25,12726,SC,0,4,0.0,1,1,1.0,0,4,4.0
26,12727,SC,0,4,0.0,1,1,1.0,0,4,4.0
27,12728,SC,1,2,1.0,2,1,3.0,2,2,3.0
28,12729,SC,1,2,1.0,2,1,3.0,2,2,3.0
29,12730,SC,1,2,1.0,2,4,3.0,2,2,3.0
30,12731,SC,1,2,1.0,2,1,3.0,2,2,3.0
31,12732,SC,1,2,1.0,2,4,3.0,2,2,3.0
32,12733,SC,1,2,1.0,2,4,3.0,2,2,3.0
0,12701,ST,0,4,4.0,1,3,1.0,1,2,0.0
1,12702,ST,0,4,4.0,1,3,1.0,1,2,0.0
2,12703,ST,0,4,4.0,1,3,1.0,1,2,0.0
3,12704,ST,0,4,4.0,1,3,1.0,1,2,0.0
4,12705,ST,0,0,1.0,2,4,2.0,1,2,0.0
5,12706,ST,0,0,1.0,1,3,1.0,3,1,1.0
6,12707,ST,0,0,1.0,1,1,1.0,1,2,0.0
7,12708,ST,0,0,1.0,4,1,1.0,3,1,1.0
8,12709,ST,0,0,1.0,1,1,1.0,3,1,1.0
9,12710,ST,0,0,1.0,2,4,2.0,1,2,0.0
10,12711,ST,0,0,1.0,1,1,4.0,3,1,1.0
11,12712,ST,1,0,1.0,4,1,4.0,3,1,1.0
12,12713,ST,1,0,1.0,1,1,4.0,3,1,1.0
13,12714,ST,1,0,1.0,1,1,1.0,3,1,1.0
14,12715,ST,1,0,0.0,2,2,2.0,2,1,1.0
15,12716,ST,3,2,3.0,4,2,4.0,2,1,2.0
16,12717,ST,1,3,0.0,4,1,4.0,3,1,1.0
17,12718,ST,1,3,0.0,0,2,2.0,4,4,2.0
18,12719,ST,1,3,0.0,0,2,2.0,2,4,2.0
19,12720,ST,1,3,0.0,0,2,0.0,4,3,2.0
20,12721,ST,4,3,0.0,0,0,0.0,4,3,2.0
21,12722,ST,4,3,0.0,0,2,0.0,4,4,2.0
22,12723,ST,4,3,0.0,3,0,3.0,4,3,3.0
23,12724,ST,4,1,0.0,3,0,3.0,4,3,3.0
24,12725,ST,2,1,0.0,0,2,0.0,4,3,3.0
25,12726,ST,2,1,0.0,0,0,0.0,0,0,4.0
26,12727,ST,2,1,2.0,0,0,0.0,0,0,4.0
27,12728,ST,2,1,2.0,0,2,0.0,0,0,4.0
28,12729,ST,2,1,2.0,3,0,3.0,0,0,3.0
29,12730,ST,2,1,2.0,3,0,3.0,0,0,3.0
30,12731,ST,2,1,2.0,0,0,0.0,0,0,4.0
31,12732,ST,2,1,2.0,3,0,3.0,0,0,3.0
32,12733,ST,2,1,2.0,0,0,0.0,0,0,4.0
