Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
ARIYALUR,General,0.0,0.6,0.0,0.0,1.52,0.0,6.91,6.42,6.65,12901,13.1918717,80.2507423
ARIYALUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,3.47,5.72,4.64,12901,13.1918717,80.2507423
ARIYALUR,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.94,7.4,5.68,12901,13.1918717,80.2507423
ARIYALUR,ST,2.58,1.71,2.15,0.0,0.0,0.0,12.07,9.84,11.06,12901,13.1918717,80.2507423
ARIYALUR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.85,6.28,5.11,12901,13.1918717,80.2507423
CHENGALPATTU,General,0.9,1.44,1.18,0.48,0.72,0.6,1.76,4.51,3.17,12902,12.72368,79.99406
CHENGALPATTU,OBC,0.0,0.07,0.0,0.31,0.72,0.52,1.59,5.91,3.79,12902,12.72368,79.99406
CHENGALPATTU,SC,0.65,0.42,0.53,0.42,0.0,0.0,2.42,6.91,4.69,12902,12.72368,79.99406
CHENGALPATTU,ST,1.16,1.09,1.12,0.0,0.24,0.12,9.51,15.63,12.56,12902,12.72368,79.99406
CHENGALPATTU,Overall,0.25,0.37,0.31,0.35,0.43,0.39,1.95,6.17,4.1,12902,12.72368,79.99406
CHENNAI,General,2.25,2.54,2.4,1.12,0.3,0.69,3.87,5.02,4.46,12903,13.0836939,80.270186
CHENNAI,OBC,0.38,0.14,0.26,0.0,0.0,0.0,1.39,4.11,2.76,12903,13.0836939,80.270186
CHENNAI,SC,0.0,0.0,0.0,0.0,0.0,0.0,1.76,5.73,3.76,12903,13.0836939,80.270186
CHENNAI,ST,0.35,1.44,0.89,0.0,0.62,0.0,7.78,4.39,5.97,12903,13.0836939,80.270186
CHENNAI,Overall,0.43,0.29,0.36,0.0,0.0,0.0,1.85,4.63,3.25,12903,13.0836939,80.270186
COIMBATORE,General,0.0,0.0,0.0,0.0,0.0,0.0,0.73,4.98,2.93,12904,11.0018115,76.9628425
COIMBATORE,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.02,7.64,4.9,12904,11.0018115,76.9628425
COIMBATORE,SC,0.04,0.0,0.01,0.07,0.29,0.18,4.01,12.18,8.12,12904,11.0018115,76.9628425
COIMBATORE,ST,1.72,0.0,0.0,2.31,4.75,3.6,11.44,15.89,13.67,12904,11.0018115,76.9628425
COIMBATORE,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.38,8.31,5.42,12904,11.0018115,76.9628425
CUDDALORE,General,0.0,0.0,0.0,2.5,0.74,1.5,2.69,8.08,5.32,12905,11.7564329,79.7634644
CUDDALORE,OBC,0.06,0.12,0.09,0.0,0.0,0.0,2.78,6.28,4.63,12905,11.7564329,79.7634644
CUDDALORE,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.44,6.55,5.04,12905,11.7564329,79.7634644
CUDDALORE,ST,0.0,1.1,0.13,4.06,1.13,2.58,9.77,14.09,11.97,12905,11.7564329,79.7634644
CUDDALORE,Overall,0.0,0.04,0.0,0.0,0.0,0.0,3.08,6.46,4.85,12905,11.7564329,79.7634644
DHARMAPURI,General,1.59,4.47,3.02,0.0,0.0,0.0,0.0,0.0,0.0,12906,12.125861,78.154221
DHARMAPURI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.55,12906,12.125861,78.154221
DHARMAPURI,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.93,2.71,1.84,12906,12.125861,78.154221
DHARMAPURI,ST,0.0,0.0,0.0,0.0,0.0,0.0,2.68,5.16,4.04,12906,12.125861,78.154221
DHARMAPURI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.11,3.05,1.65,12906,12.125861,78.154221
DINDIGUL,General,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2.88,1.63,12907,10.365646,77.9693256
DINDIGUL,OBC,0.0,0.0,0.0,0.0,0.0,0.0,3.83,5.98,4.93,12907,10.365646,77.9693256
DINDIGUL,SC,0.0,0.0,0.0,0.0,0.12,0.0,3.38,7.12,5.29,12907,10.365646,77.9693256
DINDIGUL,ST,3.26,5.94,4.64,11.11,7.88,9.47,22.52,19.79,21.15,12907,10.365646,77.9693256
DINDIGUL,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.49,6.03,4.8,12907,10.365646,77.9693256
ERODE,General,6.02,6.85,6.45,0.34,1.94,1.18,0.61,3.74,2.22,12908,11.3306483,77.7276519
ERODE,OBC,0.0,0.0,0.0,0.0,0.0,0.0,1.06,5.35,3.29,12908,11.3306483,77.7276519
ERODE,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.18,6.3,4.25,12908,11.3306483,77.7276519
ERODE,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27,3.16,12908,11.3306483,77.7276519
ERODE,Overall,0.0,0.01,0.0,0.0,0.0,0.0,1.25,5.53,3.46,12908,11.3306483,77.7276519
KALLAKURICHI,General,1.89,0.74,1.31,0.0,0.0,0.0,2.94,8.33,5.86,12909,11.7406259,78.9637131
KALLAKURICHI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,1.61,3.12,2.39,12909,11.7406259,78.9637131
KALLAKURICHI,SC,0.0,0.0,0.0,0.0,0.0,0.0,1.43,3.09,2.27,12909,11.7406259,78.9637131
KALLAKURICHI,ST,0.0,0.0,0.0,0.0,0.0,0.0,6.8,5.68,6.2,12909,11.7406259,78.9637131
KALLAKURICHI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,1.74,3.24,2.52,12909,11.7406259,78.9637131
KANCHEEPURAM,General,0.66,0.0,0.01,1.26,0.26,0.74,0.0,0.0,0.0,12910,12.87960515,79.70427615297989
KANCHEEPURAM,OBC,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.8,2.52,12910,12.87960515,79.70427615297989
KANCHEEPURAM,SC,0.23,0.2,0.21,0.0,0.0,0.0,2.9,7.3,5.2,12910,12.87960515,79.70427615297989
KANCHEEPURAM,ST,0.0,0.0,0.0,1.82,2.65,2.28,15.06,18.6,16.67,12910,12.87960515,79.70427615297989
KANCHEEPURAM,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.91,5.18,3.16,12910,12.87960515,79.70427615297989
KANNIYAKUMARI,General,0.0,0.58,0.08,0.0,0.0,0.0,0.8,3.91,2.33,12911,10.9094334,78.3665347
KANNIYAKUMARI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.24,3.15,1.73,12911,10.9094334,78.3665347
KANNIYAKUMARI,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.36,2.62,12911,10.9094334,78.3665347
KANNIYAKUMARI,ST,1.79,1.89,1.84,0.0,0.54,0.28,7.52,12.28,10.0,12911,10.9094334,78.3665347
KANNIYAKUMARI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.36,1.9,12911,10.9094334,78.3665347
KARUR,General,0.0,0.0,0.0,0.63,0.39,0.51,3.25,2.92,3.08,12912,9.9721898,79.0227484
KARUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.55,3.32,12912,9.9721898,79.0227484
KARUR,SC,0.0,0.0,0.0,0.0,0.0,0.0,1.77,6.11,4.01,12912,9.9721898,79.0227484
KARUR,ST,1.69,0.0,0.89,0.0,0.0,0.0,11.54,9.68,10.53,12912,9.9721898,79.0227484
KARUR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.09,4.78,3.48,12912,9.9721898,79.0227484
KRISHNAGIRI,General,0.0,0.0,0.0,0.0,0.53,0.0,3.46,9.74,6.73,12913,12.57128,78.1849
KRISHNAGIRI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,3.68,5.99,4.89,12913,12.57128,78.1849
KRISHNAGIRI,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.27,6.83,4.6,12913,12.57128,78.1849
KRISHNAGIRI,ST,0.0,0.0,0.0,0.0,0.0,0.0,10.55,8.73,9.61,12913,12.57128,78.1849
KRISHNAGIRI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.53,6.28,4.96,12913,12.57128,78.1849
MADURAI,General,0.0,0.0,0.0,0.0,0.0,0.0,2.92,3.61,3.27,12914,9.9261153,78.1140983
MADURAI,OBC,0.0,0.27,0.11,0.13,0.0,0.0,2.36,4.95,3.7,12914,9.9261153,78.1140983
MADURAI,SC,0.08,0.12,0.1,0.0,0.0,0.0,3.53,6.79,5.18,12914,9.9261153,78.1140983
MADURAI,ST,0.8,0.0,0.0,8.22,4.36,6.13,9.96,6.69,8.22,12914,9.9261153,78.1140983
MADURAI,Overall,0.0,0.18,0.02,0.0,0.0,0.0,2.7,5.03,3.9,12914,9.9261153,78.1140983
NAGAPATTINAM,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12915,10.80724,79.82442
NAGAPATTINAM,OBC,0.71,1.05,0.89,0.0,0.0,0.0,2.62,8.79,5.78,12915,10.80724,79.82442
NAGAPATTINAM,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.1,9.42,6.32,12915,10.80724,79.82442
NAGAPATTINAM,ST,0.0,1.44,0.0,0.0,0.0,0.0,1.74,14.87,8.48,12915,10.80724,79.82442
NAGAPATTINAM,Overall,0.39,0.56,0.48,0.0,0.0,0.0,2.56,8.84,5.78,12915,10.80724,79.82442
NAMAKKAL,General,4.2,4.18,4.19,0.0,0.0,0.0,0.0,0.0,0.0,12916,11.28204,78.16055
NAMAKKAL,OBC,0.23,0.22,0.22,0.0,0.0,0.0,0.0,2.34,0.1,12916,11.28204,78.16055
NAMAKKAL,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.57,1.98,12916,11.28204,78.16055
NAMAKKAL,ST,0.0,0.29,0.08,0.0,0.0,0.0,2.28,4.48,3.54,12916,11.28204,78.16055
NAMAKKAL,Overall,0.08,0.02,0.04,0.0,0.0,0.0,0.0,2.63,0.53,12916,11.28204,78.16055
PERAMBALUR,General,0.0,0.0,0.0,0.0,0.0,0.0,2.86,1.91,2.4,12917,11.23197,78.81565
PERAMBALUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,1.31,2.88,2.17,12917,11.23197,78.81565
PERAMBALUR,SC,0.0,0.0,0.0,0.48,0.0,0.0,0.0,2.37,0.99,12917,11.23197,78.81565
PERAMBALUR,ST,0.0,0.0,0.0,0.0,0.0,0.0,10.96,12.79,11.95,12917,11.23197,78.81565
PERAMBALUR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.75,1.88,12917,11.23197,78.81565
PUDUKKOTTAI,General,0.0,0.0,0.0,0.0,0.0,0.0,0.27,4.83,2.52,12918,10.3826515,78.8191259
PUDUKKOTTAI,OBC,0.5,0.48,0.49,1.01,0.76,0.88,5.68,7.57,6.66,12918,10.3826515,78.8191259
PUDUKKOTTAI,SC,0.0,0.0,0.0,0.31,0.8,0.56,3.29,6.79,5.06,12918,10.3826515,78.8191259
PUDUKKOTTAI,ST,0.0,9.09,5.17,11.76,31.25,21.21,28.57,32.0,30.77,12918,10.3826515,78.8191259
PUDUKKOTTAI,Overall,0.02,0.1,0.06,0.0,0.04,0.0,3.84,6.79,5.34,12918,10.3826515,78.8191259
RAMANATHAPURAM,General,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.97,1.23,12919,11.2751973,78.6381626
RAMANATHAPURAM,OBC,0.0,0.0,0.0,0.0,0.0,0.0,3.17,6.58,4.91,12919,11.2751973,78.6381626
RAMANATHAPURAM,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.77,4.97,3.9,12919,11.2751973,78.6381626
RAMANATHAPURAM,ST,5.71,16.13,10.61,23.53,0.0,6.45,9.52,0.0,4.65,12919,11.2751973,78.6381626
RAMANATHAPURAM,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.75,5.63,4.21,12919,11.2751973,78.6381626
RANIPET,General,1.91,5.19,3.68,1.03,2.92,2.01,8.88,11.19,10.1,12920,12.92471,79.33331
RANIPET,OBC,0.0,0.0,0.0,0.0,0.0,0.0,1.78,5.09,3.47,12920,12.92471,79.33331
RANIPET,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.27,6.65,3.51,12920,12.92471,79.33331
RANIPET,ST,1.77,0.0,0.41,1.89,1.13,1.49,9.94,10.38,10.17,12920,12.92471,79.33331
RANIPET,Overall,0.0,0.0,0.0,0.0,0.0,0.0,1.65,5.7,3.73,12920,12.92471,79.33331
SALEM,General,0.26,0.0,0.0,0.0,0.0,0.0,4.54,3.85,4.18,12921,11.6551982,78.1581771
SALEM,OBC,0.0,0.0,0.0,0.0,0.0,0.0,1.85,5.84,3.93,12921,11.6551982,78.1581771
SALEM,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.12,5.75,3.95,12921,11.6551982,78.1581771
SALEM,ST,0.0,1.52,0.53,1.18,0.0,0.08,5.38,6.39,5.9,12921,11.6551982,78.1581771
SALEM,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.09,5.81,4.03,12921,11.6551982,78.1581771
SIVAGANGAI,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04,2.84,12922,9.74615,78.5462004
SIVAGANGAI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.74,9.29,6.13,12922,9.74615,78.5462004
SIVAGANGAI,SC,0.0,0.0,0.0,0.57,0.0,0.02,2.29,9.39,5.96,12922,9.74615,78.5462004
SIVAGANGAI,ST,13.85,0.0,8.11,14.81,12.0,13.46,8.82,20.9,16.83,12922,9.74615,78.5462004
SIVAGANGAI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.08,8.76,5.53,12922,9.74615,78.5462004
TENKASI,General,2.71,2.78,2.74,1.17,0.96,1.06,1.72,7.13,4.51,12923,8.81786,77.33048
TENKASI,OBC,0.19,0.25,0.22,0.7,0.99,0.85,2.64,7.54,5.11,12923,8.81786,77.33048
TENKASI,SC,1.31,1.53,1.43,1.82,1.71,1.76,2.73,9.36,6.16,12923,8.81786,77.33048
TENKASI,ST,0.0,0.0,0.0,10.0,10.16,10.08,12.62,16.91,14.7,12923,8.81786,77.33048
TENKASI,Overall,0.83,0.91,0.87,1.05,1.17,1.11,2.62,7.94,5.33,12923,8.81786,77.33048
THANJAVUR,General,0.0,0.0,0.0,0.0,0.0,0.0,1.62,6.32,3.96,12924,10.7860267,79.1381497
THANJAVUR,OBC,0.0,0.06,0.03,0.0,0.0,0.0,3.13,6.51,4.87,12924,10.7860267,79.1381497
THANJAVUR,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.67,8.19,5.54,12924,10.7860267,79.1381497
THANJAVUR,ST,3.88,0.0,1.84,3.2,0.0,1.22,12.99,15.24,14.29,12924,10.7860267,79.1381497
THANJAVUR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.89,6.9,4.96,12924,10.7860267,79.1381497
THENI,General,0.03,0.0,0.0,0.0,0.0,0.0,4.25,5.11,4.73,12926,9.96769,77.47029
THENI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.76,4.69,3.76,12926,9.96769,77.47029
THENI,SC,0.0,0.0,0.0,0.16,0.0,0.06,4.0,8.85,6.57,12926,9.96769,77.47029
THENI,ST,0.0,0.0,0.0,12.68,3.33,7.45,20.45,9.8,14.74,12926,9.96769,77.47029
THENI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.33,5.84,4.65,12926,9.96769,77.47029
THE NILGIRIS,General,1.27,0.87,1.06,0.0,1.14,0.51,15.49,13.49,14.38,12925,10.9094334,78.3665347
THE NILGIRIS,OBC,0.0,0.0,0.0,0.0,0.0,0.0,4.37,7.44,5.92,12925,10.9094334,78.3665347
THE NILGIRIS,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.79,7.04,4.92,12925,10.9094334,78.3665347
THE NILGIRIS,ST,0.0,0.0,0.0,0.0,0.0,0.0,7.35,10.63,8.94,12925,10.9094334,78.3665347
THE NILGIRIS,Overall,0.0,0.0,0.0,0.0,0.0,0.0,5.26,8.3,6.81,12925,10.9094334,78.3665347
THOOTHUKKUDI,General,0.0,0.0,0.0,0.0,0.0,0.0,2.46,8.12,5.25,12927,8.75611,78.07852
THOOTHUKKUDI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.59,8.33,5.48,12927,8.75611,78.07852
THOOTHUKKUDI,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.51,7.88,5.74,12927,8.75611,78.07852
THOOTHUKKUDI,ST,4.4,1.16,2.71,8.29,7.98,8.12,14.98,18.15,16.87,12927,8.75611,78.07852
THOOTHUKKUDI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.9,8.33,5.64,12927,8.75611,78.07852
TIRUCHIRAPPALLI,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,12928,10.8155,78.69651
TIRUCHIRAPPALLI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.56,5.34,3.02,12928,10.8155,78.69651
TIRUCHIRAPPALLI,SC,0.0,0.0,0.0,0.0,0.0,0.0,1.69,8.84,5.32,12928,10.8155,78.69651
TIRUCHIRAPPALLI,ST,0.0,0.0,0.0,0.0,0.0,0.0,3.46,2.92,3.17,12928,10.8155,78.69651
TIRUCHIRAPPALLI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.66,5.57,3.18,12928,10.8155,78.69651
TIRUNELVELI,General,0.01,0.6,0.31,0.0,0.13,0.0,1.51,9.59,5.58,12929,8.7284271,77.7112925
TIRUNELVELI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,1.65,7.49,4.64,12929,8.7284271,77.7112925
TIRUNELVELI,SC,0.12,0.0,0.0,0.0,0.0,0.0,2.47,11.43,7.11,12929,8.7284271,77.7112925
TIRUNELVELI,ST,3.83,4.4,4.12,3.07,5.91,4.56,16.14,13.61,14.93,12929,8.7284271,77.7112925
TIRUNELVELI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,1.93,8.7,5.38,12929,8.7284271,77.7112925
TIRUPATTUR,General,0.0,5.14,2.5,7.21,0.89,4.04,10.91,8.88,9.88,12930,12.49239,78.56804
TIRUPATTUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,5.27,6.83,6.07,12930,12.49239,78.56804
TIRUPATTUR,SC,0.0,0.0,0.0,0.0,0.0,0.0,5.23,7.61,6.43,12930,12.49239,78.56804
TIRUPATTUR,ST,0.0,0.0,0.0,1.39,0.09,0.7,9.83,8.89,9.33,12930,12.49239,78.56804
TIRUPATTUR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,5.48,7.09,6.3,12930,12.49239,78.56804
TIRUPPUR,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,3.08,12931,11.1017815,77.345192
TIRUPPUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,3.17,8.08,5.69,12931,11.1017815,77.345192
TIRUPPUR,SC,0.12,0.0,0.0,0.0,0.0,0.0,3.8,10.18,7.0,12931,11.1017815,77.345192
TIRUPPUR,ST,0.2,0.0,0.0,7.14,0.4,3.69,4.03,11.63,8.1,12931,11.1017815,77.345192
TIRUPPUR,Overall,0.02,0.0,0.0,0.0,0.0,0.0,3.19,8.48,5.89,12931,11.1017815,77.345192
TIRUVALLUR,General,2.03,1.62,1.81,1.01,2.29,1.68,9.04,11.83,10.52,12932,13.116192,79.91216
TIRUVALLUR,OBC,0.29,0.55,0.42,0.8,0.73,0.76,4.81,9.16,7.08,12932,13.116192,79.91216
TIRUVALLUR,SC,0.29,0.32,0.31,0.29,0.01,0.15,5.47,10.31,7.94,12932,13.116192,79.91216
TIRUVALLUR,ST,1.8,1.4,1.59,1.98,2.15,2.07,17.55,19.35,18.49,12932,13.116192,79.91216
TIRUVALLUR,Overall,0.46,0.59,0.53,0.71,0.7,0.7,5.53,9.84,7.77,12932,13.116192,79.91216
TIRUVANNAMALAI,General,0.0,0.0,0.0,1.47,1.14,1.29,0.0,9.97,4.99,12933,12.238458,79.077862
TIRUVANNAMALAI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.95,4.75,3.88,12933,12.238458,79.077862
TIRUVANNAMALAI,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.65,5.31,4.49,12933,12.238458,79.077862
TIRUVANNAMALAI,ST,0.0,0.0,0.0,1.38,0.53,0.94,10.32,9.08,9.68,12933,12.238458,79.077862
TIRUVANNAMALAI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.42,5.15,4.3,12933,12.238458,79.077862
TIRUVARUR,General,0.0,0.0,0.0,0.0,0.0,0.0,7.59,12.79,10.32,12934,10.7773227,79.6272386
TIRUVARUR,OBC,0.0,0.1,0.0,0.0,0.4,0.19,2.1,6.93,4.53,12934,10.7773227,79.6272386
TIRUVARUR,SC,0.0,0.0,0.0,0.0,0.22,0.1,1.13,5.67,3.41,12934,10.7773227,79.6272386
TIRUVARUR,ST,4.17,0.0,0.0,1.59,0.0,0.81,0.0,25.64,12.16,12934,10.7773227,79.6272386
TIRUVARUR,Overall,0.0,0.0,0.0,0.0,0.1,0.0,1.94,6.75,4.36,12934,10.7773227,79.6272386
VELLORE,General,0.0,0.32,0.0,0.53,0.0,0.0,3.3,1.77,2.54,12935,12.9071753,79.1309695
VELLORE,OBC,0.06,0.27,0.16,0.0,0.0,0.0,3.3,6.41,4.88,12935,12.9071753,79.1309695
VELLORE,SC,0.38,0.0,0.01,0.0,0.0,0.0,3.73,9.28,6.52,12935,12.9071753,79.1309695
VELLORE,ST,4.56,5.19,4.9,4.24,2.18,3.13,21.97,11.58,15.91,12935,12.9071753,79.1309695
VELLORE,Overall,0.19,0.24,0.22,0.0,0.0,0.0,3.61,7.05,5.36,12935,12.9071753,79.1309695
VILLUPURAM,General,0.0,1.94,0.84,0.0,0.0,0.0,5.75,8.45,7.24,12936,11.9381117,79.500896
VILLUPURAM,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.46,4.21,3.34,12936,11.9381117,79.500896
VILLUPURAM,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.38,4.79,3.63,12936,11.9381117,79.500896
VILLUPURAM,ST,0.93,0.0,0.0,0.0,0.48,0.06,8.17,12.59,10.36,12936,11.9381117,79.500896
VILLUPURAM,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.54,4.57,3.58,12936,11.9381117,79.500896
VIRUDHUNAGAR,General,0.0,0.0,0.0,0.0,0.0,0.0,2.16,5.36,3.79,12937,9.52525,78.01311
VIRUDHUNAGAR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.89,6.77,4.87,12937,9.52525,78.01311
VIRUDHUNAGAR,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.57,8.74,6.18,12937,9.52525,78.01311
VIRUDHUNAGAR,ST,0.0,0.45,0.0,0.0,0.95,0.0,10.66,22.63,16.99,12937,9.52525,78.01311
VIRUDHUNAGAR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.96,7.07,5.05,12937,9.52525,78.01311
