"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:24 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Jharkhand,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOKARO,General,0,0.28,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOKARO,OBC,0.62,0.96,0.8,2.99,2.36,2.68,17.03,15.5,16.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOKARO,SC,4.98,5.66,5.34,7.21,9.69,8.46,14.8,11.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOKARO,ST,4.59,5.59,5.1,9.95,9.48,9.72,19.04,21.83,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOKARO,Overall,1.75,2.26,2.02,3.47,2.62,3.04,11.48,6.87,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHATRA,General,9.31,8.26,8.76,2.3,0.08,1.24,5.53,0.64,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHATRA,OBC,0,0,0,2.75,0,0.33,10.68,20.9,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHATRA,SC,2.45,3.51,2.98,10.75,9.31,10.06,13.14,21.87,17.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHATRA,ST,10.13,11.6,10.87,0,0,0,0,5.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHATRA,Overall,1.66,1.96,1.82,5.18,1.91,3.61,9.47,18.81,13.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEOGHAR,General,0.93,2.84,1.99,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEOGHAR,OBC,0,0,0,9.12,5.69,7.44,19.75,19.23,19.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEOGHAR,SC,2.52,5.31,3.96,12.42,10.01,11.2,17.21,16.74,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEOGHAR,ST,7.29,5.22,6.24,13.25,12.64,12.93,11.7,25.48,19.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEOGHAR,Overall,1.08,1.77,1.44,8.15,6.07,7.1,12.96,11.94,12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHANBAD,General,5.05,3,3.9,3.46,0,1.36,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHANBAD,OBC,1.48,1.61,1.55,4.94,5.13,5.04,16.93,14.08,15.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHANBAD,SC,4.08,5.79,4.96,9.79,11.14,10.46,19.59,19.12,19.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHANBAD,ST,5.95,7.09,6.54,9.55,12.89,11.21,11.34,13.86,12.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHANBAD,Overall,3.19,3.27,3.23,6.01,5.68,5.84,10.17,9.42,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMKA,General,2.7,15.05,9.56,5.78,3.21,4.36,20.71,0,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMKA,OBC,2.83,3.25,3.04,7.77,6.69,7.24,24.73,18.09,21.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMKA,SC,4.87,8.53,6.74,6.68,14.27,10.51,28.88,19.91,24.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMKA,ST,6.77,8.15,7.48,12.52,15.23,13.88,8.77,12.81,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMKA,Overall,4.75,6.13,5.45,9.52,10.47,10,19.56,15.38,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARHWA,General,6.35,4.53,5.37,0,0,0,34.63,37.43,36.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARHWA,OBC,0.25,0.72,0.49,5.16,5.26,5.21,21.31,25.59,23.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARHWA,SC,4.66,5.16,4.91,5.66,5.99,5.83,24.61,22.7,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARHWA,ST,5.66,9.1,7.44,13.66,13.75,13.69,19.84,24.76,22.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARHWA,Overall,2.74,3.69,3.22,5.82,5.73,5.78,23.01,26.14,24.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIRIDIH,General,1.64,2.79,2.28,0,0,0,1.56,10.63,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIRIDIH,OBC,2.13,2.64,2.39,3.17,2,2.61,15.81,11.25,13.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIRIDIH,SC,8.13,7.77,7.95,10.25,11.44,10.81,23.43,17.02,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIRIDIH,ST,13.07,14.01,13.55,14.58,12.86,13.74,22.31,19.82,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIRIDIH,Overall,4.42,4.86,4.65,4.78,4.02,4.41,15.51,12.44,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,General,8.32,9.49,8.99,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,OBC,0,0.2,0,7,3.64,5.4,17.81,15.7,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,SC,0,0.29,0,6.93,4.47,5.67,11.86,3.13,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,ST,13.62,16.3,15.03,18.19,14.8,16.49,11.08,16.38,13.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODDA,Overall,2.47,4.42,3.47,8.46,5.28,6.92,14.52,12.19,13.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,General,6.69,13.83,10.54,47.86,0,28.28,50.74,0,23.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,OBC,0,0,0,0,4.66,0.64,9.51,14.88,12.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,SC,0,0.49,0,5.99,0,2.44,4.81,4.52,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,ST,7.94,8.23,8.1,7.31,11.75,9.5,18.43,28.46,23.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUMLA,Overall,5.73,6.39,6.06,7.49,9.19,8.32,18.32,22.03,20.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZARIBAG,General,0,0,0,0,0,0,0,7.23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZARIBAG,OBC,2.08,2.84,2.48,2.24,1.69,1.97,9.36,0,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZARIBAG,SC,3.88,5.79,4.84,5.08,6.53,5.78,17.66,11.37,14.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZARIBAG,ST,8.23,7.64,7.93,8.02,7.35,7.68,13.08,22.21,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZARIBAG,Overall,1.5,2.1,1.81,2.38,1.87,2.13,7.4,0.94,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMTARA,General,6.31,9.61,8.16,10.74,11.55,11.15,2.56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMTARA,OBC,0,0,0,8.02,7.81,7.92,18.35,17.86,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMTARA,SC,2.56,4.19,3.4,12.69,13.11,12.89,17.27,20.38,18.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMTARA,ST,2.74,4.07,3.41,8.99,11.64,10.3,14.05,19.36,16.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMTARA,Overall,0,2.03,0.96,8.93,9.7,9.31,15.72,15.56,15.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHUNTI,General,1.78,25.79,16.09,0,11.18,4.98,24.65,27.36,26.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHUNTI,OBC,0,2.98,1.01,0.93,3.99,2.4,6.51,25.5,15.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHUNTI,SC,11.08,12.96,12.08,15.22,16.23,15.7,29.63,38.21,33.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHUNTI,ST,6.07,7.46,6.77,8.94,14.38,11.62,19.53,31.62,25.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHUNTI,Overall,5.35,7.99,6.71,7.82,12.9,10.32,18.18,30.74,24.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODARMA,General,7.51,4,5.64,5.81,1.31,3.4,8.37,3.72,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODARMA,OBC,0,0,0,1.54,0.19,0.89,4.87,8.28,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODARMA,SC,0,0,0,0.58,3.57,2.02,14.48,12.45,13.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODARMA,ST,9.15,10.05,9.63,0,0,0,0,2.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODARMA,Overall,0,0,0,1.8,0.56,1.19,6.49,8.21,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATEHAR,General,0,0,0,0,0,0,9.84,7.7,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATEHAR,OBC,1.94,2.76,2.37,3.8,8.25,6.01,19.02,18.24,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATEHAR,SC,5.14,4.68,4.91,9.58,14.06,11.8,24.85,22.62,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATEHAR,ST,7,8.86,7.96,9.41,12.26,10.78,20.06,28.14,23.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATEHAR,Overall,4.77,5.91,5.35,7.75,10.93,9.31,20.36,23.28,21.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHARDAGA,General,20.21,15.96,17.97,11.83,0,1.56,18.71,0,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHARDAGA,OBC,0,1.74,0.15,5.54,3.5,4.62,21.26,17.91,19.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHARDAGA,SC,9.36,14.87,12.26,0,1.57,0,12.83,0,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHARDAGA,ST,1.05,4.31,2.7,4.96,10.71,7.64,16.85,25.04,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOHARDAGA,Overall,1.72,4.8,3.27,5.19,7.03,6.04,18.29,19.41,18.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKAUR,General,59.96,59.15,59.52,24.88,8.53,17.09,2.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKAUR,OBC,0,0.9,0,9.55,10.08,9.79,32.51,26.02,29.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKAUR,SC,2.91,9.9,6.67,15.59,15.15,15.37,13.97,6.41,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKAUR,ST,6.26,6.95,6.62,9.16,13.05,11.08,28.02,25.45,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAKAUR,Overall,2.84,5.84,4.37,10.04,11.26,10.61,29.49,23.22,26.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAMU,General,5.73,8.65,7.34,2.89,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAMU,OBC,0.77,2.2,1.5,1.16,0,0,8.46,13.36,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAMU,SC,4.66,6.4,5.54,6.39,3.93,5.17,17.02,19.44,18.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAMU,ST,4.85,6.86,5.88,3.89,4.22,4.05,20.73,25.89,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAMU,Overall,2.99,4.77,3.91,3.12,0.17,1.67,9.12,9.27,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIMI SINGHBHUM,General,2.81,0,0,0,0,0,0,13.69,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIMI SINGHBHUM,OBC,0.97,2.07,1.54,4.87,7.79,6.33,16.89,18.59,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIMI SINGHBHUM,SC,0,0,0,0.87,0,0.08,14.32,24.64,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIMI SINGHBHUM,ST,5.82,6.72,6.28,11.13,13.65,12.4,25.41,29.89,27.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASHCHIMI SINGHBHUM,Overall,4.35,4.99,4.68,8.98,11.42,10.2,21.57,26.2,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBI SINGHBHUM,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBI SINGHBHUM,OBC,3.27,5,4.16,8.68,8.43,8.55,24.52,21.17,22.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBI SINGHBHUM,SC,3.63,2.99,3.3,0,2.35,0.03,24.33,11.78,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBI SINGHBHUM,ST,2.18,2.97,2.59,6.22,5.8,6.01,21.87,20.62,21.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBI SINGHBHUM,Overall,0,1.39,0.73,0.29,0.57,0.43,10.68,11.72,11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMGARH,General,9.62,8.98,9.26,0,6.1,3.11,0,3.23,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMGARH,OBC,5.37,9.03,7.31,0.76,0,0,20.19,22.85,21.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMGARH,SC,9.5,14.33,12.01,11.42,13.2,12.3,8.58,4.09,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMGARH,ST,2.96,4.19,3.59,4.58,0.11,2.49,12.78,15.24,13.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMGARH,Overall,5.91,8.61,7.33,2.95,0.89,1.93,14.18,16.08,15.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANCHI,General,4.54,8.06,6.53,0,2.93,1.51,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANCHI,OBC,2.35,3.47,2.91,3.12,1.87,2.52,6.67,3.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANCHI,SC,7.25,9.16,8.26,5.81,5.86,5.84,15.9,14.9,15.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANCHI,ST,4.99,6.43,5.73,5.46,7.07,6.24,10.3,8.67,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANCHI,Overall,4.16,5.96,5.1,3.71,4.31,4.01,6.52,4.03,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHIBGANJ,General,35.67,38.07,36.96,0,5.56,1.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHIBGANJ,OBC,0,0.2,0,10.58,9.77,10.2,28.13,20.99,24.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHIBGANJ,SC,3.09,3.69,3.4,14.67,18.19,16.4,13.09,0,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHIBGANJ,ST,13.06,13.77,13.43,13.12,15.66,14.41,19.17,15.71,17.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHIBGANJ,Overall,4.25,5.13,4.7,10.94,11.46,11.19,24.34,14.96,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAIKELA-KHARSAWAN,General,0,0,0,0,0,0,10.64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAIKELA-KHARSAWAN,OBC,0,0,0,3.93,4.82,4.37,12.58,14.25,13.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAIKELA-KHARSAWAN,SC,3.88,5.31,4.61,10.21,9.78,9.99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAIKELA-KHARSAWAN,ST,2.89,3.71,3.31,9.53,9.36,9.45,18.14,14.5,16.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAIKELA-KHARSAWAN,Overall,0,0,0,5.68,5.43,5.55,12.52,8.28,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMDEGA,General,11.79,12.78,12.32,0,2.72,1.35,0,17.07,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMDEGA,OBC,0,5.37,2.58,6.72,10.33,8.46,16.29,25.25,20.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMDEGA,SC,2.67,7.12,4.97,5.02,0.72,2.9,13.52,20.91,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMDEGA,ST,2.97,4.37,3.68,8.1,12.57,10.28,21.98,30.72,26.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMDEGA,Overall,2.6,5.03,3.84,7.38,10.77,9.03,19.35,28.22,23.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Overall,2.87,4.02,3.46,5.51,5.29,5.4,13.33,12.63,12.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
